iter	Passed	Remaining
0	6	6085
1	12	6265
2	20	6945
3	26	6686
4	34	6964
5	40	6776
6	48	6838
7	56	6970
8	61	6826
9	67	6684
10	74	6672
11	80	6663
12	89	6800
13	95	6717
14	102	6759
15	109	6732
16	116	6752
17	123	6762
18	129	6704
19	137	6735
20	145	6780
21	152	6801
22	158	6734
23	163	6666
24	171	6689
25	178	6679
26	187	6740
27	193	6701
28	200	6724
29	207	6702
30	215	6732
31	222	6718
32	227	6678
33	235	6680
34	251	6935
35	256	6873
36	263	6853
37	269	6823
38	278	6857
39	285	6841
40	290	6792
41	299	6825
42	305	6799
43	312	6791
44	319	6772
45	325	6759
46	333	6764
47	340	6751
48	348	6762
49	354	6736
50	360	6708
51	367	6696
52	374	6686
53	382	6707
54	388	6673
55	394	6646
56	401	6635
57	407	6621
58	415	6619
59	421	6597
60	427	6578
61	434	6568
62	442	6576
63	448	6560
64	454	6532
65	461	6530
66	467	6514
67	474	6503
68	482	6504
69	487	6478
70	494	6475
71	504	6507
72	512	6507
73	520	6514
74	527	6511
75	534	6499
76	543	6514
77	549	6499
78	557	6496
79	564	6495
80	575	6527
81	580	6501
82	587	6485
83	593	6476
84	600	6462
85	606	6449
86	613	6440
87	619	6417
88	626	6410
89	634	6412
90	641	6412
91	648	6397
92	655	6390
93	663	6392
94	670	6385
95	677	6375
96	682	6355
97	689	6349
98	696	6338
99	704	6339
100	711	6331
101	718	6323
102	725	6316
103	732	6314
104	741	6320
105	746	6298
106	755	6302
107	761	6293
108	770	6295
109	776	6283
110	783	6278
111	794	6298
112	803	6310
113	809	6294
114	819	6306
115	826	6299
116	834	6298
117	841	6287
118	849	6287
119	856	6282
120	863	6275
121	870	6264
122	876	6248
123	881	6228
124	888	6219
125	894	6206
126	902	6204
127	908	6191
128	915	6183
129	923	6182
130	932	6187
131	939	6176
132	947	6176
133	953	6163
134	961	6159
135	971	6169
136	978	6165
137	985	6157
138	993	6151
139	1000	6148
140	1007	6137
141	1015	6137
142	1023	6133
143	1032	6135
144	1038	6121
145	1044	6107
146	1050	6096
147	1056	6084
148	1064	6082
149	1071	6069
150	1076	6051
151	1084	6050
152	1092	6046
153	1100	6045
154	1106	6033
155	1113	6026
156	1120	6017
157	1128	6016
158	1136	6010
159	1142	5998
160	1149	5991
161	1162	6012
162	1167	5997
163	1174	5985
164	1181	5980
165	1190	5978
166	1197	5971
167	1204	5965
168	1212	5960
169	1219	5953
170	1228	5953
171	1234	5945
172	1241	5935
173	1248	5924
174	1253	5911
175	1261	5906
176	1267	5892
177	1274	5886
178	1283	5885
179	1291	5885
180	1298	5875
181	1304	5864
182	1312	5857
183	1320	5854
184	1327	5849
185	1333	5836
186	1340	5828
187	1347	5820
188	1354	5810
189	1361	5802
190	1366	5789
191	1373	5781
192	1380	5772
193	1387	5762
194	1394	5757
195	1401	5749
196	1408	5740
197	1416	5736
198	1423	5731
199	1429	5718
200	1436	5710
201	1443	5702
202	1449	5692
203	1457	5686
204	1462	5671
205	1469	5664
206	1476	5654
207	1484	5652
208	1491	5645
209	1496	5631
210	1505	5629
211	1511	5618
212	1521	5621
213	1527	5610
214	1536	5611
215	1543	5602
216	1551	5598
217	1557	5587
218	1564	5578
219	1570	5568
220	1577	5561
221	1586	5558
222	1593	5550
223	1601	5547
224	1609	5542
225	1618	5543
226	1624	5533
227	1630	5520
228	1637	5512
229	1644	5505
230	1652	5501
231	1659	5494
232	1668	5491
233	1675	5484
234	1685	5488
235	1691	5475
236	1699	5471
237	1706	5462
238	1713	5456
239	1720	5446
240	1725	5434
241	1733	5428
242	1739	5419
243	1748	5418
244	1754	5407
245	1761	5397
246	1768	5390
247	1778	5392
248	1784	5381
249	1792	5376
250	1798	5366
251	1805	5359
252	1813	5355
253	1819	5343
254	1827	5338
255	1833	5330
256	1841	5323
257	1848	5316
258	1854	5305
259	1860	5296
260	1867	5287
261	1875	5282
262	1881	5273
263	1887	5262
264	1895	5256
265	1901	5247
266	1908	5240
267	1914	5229
268	1921	5221
269	1928	5212
270	1934	5203
271	1941	5197
272	1948	5188
273	1956	5183
274	1963	5175
275	1969	5166
276	1977	5162
277	1984	5152
278	1991	5146
279	1997	5135
280	2007	5135
281	2013	5126
282	2018	5113
283	2025	5106
284	2031	5097
285	2040	5093
286	2046	5083
287	2053	5076
288	2060	5068
289	2067	5062
290	2075	5055
291	2080	5045
292	2087	5037
293	2095	5030
294	2102	5025
295	2109	5018
296	2118	5014
297	2125	5007
298	2132	4999
299	2139	4993
300	2146	4983
301	2153	4977
302	2160	4969
303	2167	4963
304	2174	4954
305	2180	4945
306	2188	4939
307	2196	4934
308	2204	4929
309	2210	4920
310	2218	4915
311	2226	4910
312	2233	4902
313	2241	4896
314	2246	4885
315	2253	4877
316	2260	4869
317	2269	4867
318	2277	4862
319	2285	4856
320	2291	4847
321	2298	4840
322	2306	4834
323	2314	4828
324	2320	4818
325	2327	4812
326	2332	4799
327	2337	4789
328	2342	4777
329	2349	4770
330	2356	4762
331	2364	4757
332	2370	4748
333	2376	4738
334	2383	4731
335	2390	4724
336	2399	4719
337	2404	4710
338	2412	4703
339	2418	4694
340	2424	4686
341	2432	4679
342	2439	4673
343	2447	4667
344	2454	4660
345	2462	4655
346	2468	4645
347	2473	4635
348	2477	4620
349	2483	4612
350	2491	4606
351	2499	4602
352	2507	4596
353	2516	4591
354	2523	4584
355	2526	4571
356	2535	4566
357	2541	4557
358	2548	4550
359	2555	4542
360	2562	4535
361	2569	4528
362	2576	4520
363	2583	4513
364	2595	4515
365	2601	4506
366	2609	4500
367	2615	4492
368	2623	4486
369	2630	4479
370	2637	4471
371	2644	4464
372	2651	4456
373	2658	4449
374	2664	4440
375	2670	4431
376	2677	4423
377	2683	4415
378	2690	4408
379	2696	4400
380	2702	4390
381	2709	4383
382	2716	4376
383	2723	4368
384	2730	4361
385	2738	4356
386	2744	4348
387	2752	4341
