,sample,size,optics_sil,hdbscan_sil,optics_ch,hdbscan_ch,optics_dbi,hdbscan_dbi
0,2,2,0.427659557,0.352299579,14.75050741,30.00002928,1.105425985,1.131656838
1,3,3,0.202484294,0.27129174,14.30147534,42.68506855,1.11959685,1.14563142
2,4,4,0.115029261,0.278888511,17.60158472,87.61974749,1.192641721,1.306076743
3,5,5,0.049630101,0.280461771,24.26496881,135.991415,1.153201748,1.257478273
4,6,6,0.012137714,0.250488372,40.25763886,142.6892401,1.065280304,1.225298182
5,7,7,-0.033799559,0.281620242,47.4580447,209.3381034,1.030868619,1.264752885
6,8,8,-0.002340422,0.262669826,50.83425477,222.5189163,1.066293813,1.300244247
7,9,9,-0.073900645,0.257905845,44.62203708,232.507078,1.081878934,1.316150618
8,10,10,-0.061024918,0.250119889,71.58974134,201.475714,1.014047101,1.291089812
9,20,20,-0.039354639,0.282305401,107.3812016,319.7246199,1.070755486,1.409671254
10,30,30,-0.003626811,0.300323314,196.6915611,407.1246118,0.985399331,1.279319742
11,40,40,0.187349687,0.203975536,220.3942448,196.8975309,1.624308055,1.734108437
12,50,50,0.079748144,0.114463313,156.9542166,135.2836699,1.902107083,1.964298156
