,clusters,dbs_dbi,km_dbi,gmm_dbi,msc_dbi
0,164,1.449586795361541,1.125590634405878,1.3926171917165096,1.5954564599175656
1,115,1.4773847312844246,1.1681243110071111,1.4330816996525049,1.575827264789564
2,74,1.4651992196966497,1.209941122898475,1.7718354503378957,1.3896507710697807
3,49,1.5007788374260491,1.2620410856128772,1.7061224857103343,1.918014148238887
4,32,1.4701444173363087,1.323265261502838,1.7150296486675982,1.874464302043404
5,27,1.5423737968212852,1.4365107524468168,2.014260130393831,1.7987686684777984
6,19,1.6182367428122368,1.533501692428665,2.0582691009651235,1.510916160881126
7,10,1.8336483007806728,1.4886685004006108,2.1915750599698343,1.6206460121388735
8,7,1.9078471079329693,1.5075346314031073,2.885415324168211,1.4995011404499212
9,6,1.8658592735876236,1.451324869102678,2.6113101830138628,1.3556446644188294
10,4,2.5753998014873534,1.6161699186708354,2.4677827920151314,1.1751534277254103
