,eps,clusters,dbi
0,5.2,145,1.4654999943539906
1,5.3,134,1.4848566181824425
2,5.4,122,1.4830371501591912
3,5.5,115,1.4773847312844297
4,5.6,110,1.451171818058413
5,5.7,101,1.474795848967028
6,5.8,93,1.438958962251384
7,5.9,81,1.4473234338776824
8,6.0,74,1.4651992196966594
9,6.2,63,1.4651835402424072
10,6.4,53,1.526310708715319
11,6.7,42,1.537361768634146
12,7.0,32,1.4701444173363127
13,7.8,22,1.5869221215570417
14,8.4,12,1.7609450505802715
15,9.7,5,2.2930529963135418
16,10.3,2,3.522080595694682
