,clusters,vi,silhouette,dbi,ch
0,164,-1.0,0.4140890647305935,1.125590634405878,6752.8505907863455
1,115,1.3587362080870748,0.3969712811633938,1.1681243110071111,7280.310501527629
2,74,1.4446629383281346,0.3605574357882938,1.209941122898475,8087.616501842318
3,49,1.3829210096023128,0.3239558108569502,1.2620410856128772,8922.190354755734
4,32,1.5934521811611335,0.305115045101539,1.323265261502838,9991.090764490244
5,27,1.346492309893708,0.283102356257205,1.4365107524468168,10514.367572298172
6,19,1.7356745321495275,0.261848895022345,1.533501692428665,11520.929468059248
7,10,1.7916022828132323,0.2543845363157965,1.4886685004006108,16293.839264633614
8,7,0.9840238211867472,0.2311256801503444,1.5075346314031073,18879.008050354587
9,6,1.0427039804701248,0.220333542977445,1.451324869102678,19599.80202898249
10,4,1.4073036542880946,0.1948712004033815,1.6161699186708354,21207.7208292226
