,Unnamed: 0,uid,RAW_nprocs,RAW_run_time,exe,POSIX_RAW_agg_perf_by_slowest,POSIX_RAW_TOTAL_FILES,POSIX_RAW_OPENS,POSIX_RAW_FILENOS,POSIX_RAW_DUPS,POSIX_RAW_SEEKS,POSIX_RAW_STATS,POSIX_RAW_MODE,POSIX_RAW_MAX_BYTE_READ,POSIX_RAW_MAX_BYTE_WRITTEN,POSIX_RAW_MEM_ALIGNMENT,POSIX_RAW_FILE_ALIGNMENT,POSIX_RAW_MAX_READ_TIME_SIZE,POSIX_RAW_MAX_WRITE_TIME_SIZE,POSIX_RAW_ACCESS1_ACCESS,POSIX_RAW_ACCESS2_ACCESS,POSIX_RAW_ACCESS3_ACCESS,POSIX_RAW_ACCESS4_ACCESS,POSIX_RAW_TOTAL_ACCESSES,POSIX_RAW_TOTAL_BYTES,POSIX_BYTES_READ_PERC,POSIX_BYTES_WRITTEN_PERC,POSIX_UNIQUE_FILES_PERC,POSIX_SHARE_FILES_PERC,POSIX_READ_ONLY_FILES_PERC,POSIX_READ_WRITE_FILES_PERC,POSIX_WRITE_ONLY_FILES_PERC,POSIX_READS_PERC,POSIX_WRITES_PERC,POSIX_RW_SWITCHES_PERC,POSIX_SEQ_READS_PERC,POSIX_SEQ_WRITES_PERC,POSIX_CONSEC_READS_PERC,POSIX_CONSEC_WRITES_PERC,POSIX_FILE_NOT_ALIGNED_PERC,POSIX_MEM_NOT_ALIGNED_PERC,POSIX_SIZE_READ_0_100_PERC,POSIX_SIZE_READ_100_1K_PERC,POSIX_SIZE_READ_1K_10K_PERC,POSIX_SIZE_READ_10K_100K_PERC,POSIX_SIZE_READ_100K_1M_PERC,POSIX_SIZE_READ_1M_4M_PERC,POSIX_SIZE_READ_4M_10M_PERC,POSIX_SIZE_READ_10M_100M_PERC,POSIX_SIZE_READ_100M_1G_PERC,POSIX_SIZE_READ_1G_PLUS_PERC,POSIX_SIZE_WRITE_0_100_PERC,POSIX_SIZE_WRITE_100_1K_PERC,POSIX_SIZE_WRITE_1K_10K_PERC,POSIX_SIZE_WRITE_10K_100K_PERC,POSIX_SIZE_WRITE_100K_1M_PERC,POSIX_SIZE_WRITE_1M_4M_PERC,POSIX_SIZE_WRITE_4M_10M_PERC,POSIX_SIZE_WRITE_10M_100M_PERC,POSIX_SIZE_WRITE_100M_1G_PERC,POSIX_SIZE_WRITE_1G_PLUS_PERC,POSIX_ACCESS1_COUNT_PERC,POSIX_ACCESS2_COUNT_PERC,POSIX_ACCESS3_COUNT_PERC,POSIX_ACCESS4_COUNT_PERC,LOG10_nprocs,LOG10_run_time,POSIX_LOG10_agg_perf_by_slowest,POSIX_LOG10_TOTAL_FILES,POSIX_LOG10_OPENS,POSIX_LOG10_FILENOS,POSIX_LOG10_DUPS,POSIX_LOG10_SEEKS,POSIX_LOG10_STATS,POSIX_LOG10_MODE,POSIX_LOG10_MAX_BYTE_READ,POSIX_LOG10_MAX_BYTE_WRITTEN,POSIX_LOG10_MEM_ALIGNMENT,POSIX_LOG10_FILE_ALIGNMENT,POSIX_LOG10_MAX_READ_TIME_SIZE,POSIX_LOG10_MAX_WRITE_TIME_SIZE,POSIX_LOG10_ACCESS1_ACCESS,POSIX_LOG10_ACCESS2_ACCESS,POSIX_LOG10_ACCESS3_ACCESS,POSIX_LOG10_ACCESS4_ACCESS,POSIX_LOG10_TOTAL_ACCESSES,POSIX_LOG10_TOTAL_BYTES,short_name
0,0.0,10872,1,18.73745393753052,/thfs3/home/testpdl1/llama/llama.cpp.dsp/./build/bin/main -m /thfs3/home/testpdl1/llama/ggml.gguf -p What is Love? Love can be: -n 16 -t 4 -e ,568.0244605976693,1,1.0,0.0,0.0,0.0,1.0,0.0,1230766.0,0.0,8.0,1048576.0,1230767.0,0.0,1230767.0,0.0,0.0,0.0,1.0,1230767.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3010299956639812,1.2952911294786857,2.7551309357698717,0.3010299956639812,0.3010299956639812,0.0,0.0,0.0,0.3010299956639812,0.0,6.090175843189626,0.0,0.9542425094393249,6.020600327454919,6.090176196054389,0.0,6.090176196054389,0.0,0.0,0.0,0.3010299956639812,6.090176196054389,main
2,0.47712125471966244,10872,1,25.381682872772217,/thfs3/home/testpdl1/llama/llama.cpp.dsp/./build/bin/main -m /thfs3/home/testpdl1/llama/ggml.gguf -p What is Love? Love can be: -n 16 -t 4 -e ,224.38778486782127,1,1.0,0.0,0.0,0.0,1.0,0.0,1230766.0,0.0,8.0,1048576.0,1230767.0,0.0,1230767.0,0.0,0.0,0.0,1.0,1230767.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3010299956639812,1.421302495495698,2.352930375293706,0.3010299956639812,0.3010299956639812,0.0,0.0,0.0,0.3010299956639812,0.0,6.090175843189626,0.0,0.9542425094393249,6.020600327454919,6.090176196054389,0.0,6.090176196054389,0.0,0.0,0.0,0.3010299956639812,6.090176196054389,main
3,0.6020599913279624,10803,32,6502.530299425125,/thfs3/home/stu2/vasp-6.3.2-gcc9.3.0-mpi-x/vasp ,226.45755766179263,18,1402.0,0.0,0.0,178.0,3434.0,5694.0,711235223.0,804242410.0,144.0,18874368.0,142877.0,112915.0,128070.0,162360.0,82684.0,17596.0,33043.0,1565975921.0,0.4864067229805126,0.5135932770194874,0.6111111111111112,0.3888888888888889,0.2777777777777778,0.05555555555555555,0.5555555555555556,0.4109796325999455,0.5890203674000545,3.026359592046727e-05,0.37224222982174743,0.5882637775020428,0.3695487697848258,0.5865387525345762,0.9604454801319493,0.0,0.08328541597312593,0.0,0.16076022152952213,3.026359592046727e-05,0.166903731501377,0.0,0.0,0.0,0.0,0.0,0.00048421753472747633,0.0009684350694549527,0.3105347577399147,0.2770329570559574,0.0,0.0,0.0,0.0,0.0,0.0,0.7194867294131889,0.20131344006294827,0.002360560481796447,0.0019973973307508396,1.5185139398778875,3.8131491679282776,2.3569003715739005,1.2787536009528289,3.1470576710283598,0.0,0.0,2.2528530309798933,3.5359267413955693,3.7554937284151193,8.852013256975116,8.905386971499562,2.161368002234975,7.275872441392679,5.154965362351841,5.052755485054968,5.107450800581518,5.2104817175229545,4.917426730736494,4.245438634035767,4.519092613490356,9.194785080184934,vasp
4,0.6989700043360189,10872,1,18.42111611366272,/thfs3/home/testpdl1/llama/llama.cpp.dsp.tj/./build/bin/main -m /thfs3/home/testpdl1/llama/ggml.gguf -p What is Love? Love can be: -n 16 -t 4 -e ,606.5132438092892,1,1.0,0.0,0.0,0.0,1.0,0.0,1230766.0,0.0,8.0,1048576.0,1230767.0,0.0,1230767.0,0.0,0.0,0.0,1.0,1230767.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3010299956639812,1.2882741847932202,2.783555750007962,0.3010299956639812,0.3010299956639812,0.0,0.0,0.0,0.3010299956639812,0.0,6.090175843189626,0.0,0.9542425094393249,6.020600327454919,6.090176196054389,0.0,6.090176196054389,0.0,0.0,0.0,0.3010299956639812,6.090176196054389,main
6,0.8450980400142568,10872,1,44.82237267494202,/thfs3/home/testpdl1/llama/llama.cpp.dsp/./build/bin/main -m /thfs3/home/testpdl1/llama/ggml.gguf -p What is Love? Love can be: -n 32 -t 4 -e ,186.7121826648641,1,1.0,0.0,0.0,0.0,1.0,0.0,1242942.0,0.0,8.0,1048576.0,1242943.0,0.0,1242943.0,0.0,0.0,0.0,1.0,1242943.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3010299956639812,1.66107757313265,2.273492459581554,0.3010299956639812,0.3010299956639812,0.0,0.0,0.0,0.3010299956639812,0.0,6.094451212830644,0.0,0.9542425094393249,6.020600327454919,6.094451562238708,0.0,6.094451562238708,0.0,0.0,0.0,0.3010299956639812,6.094451562238708,main
7,0.9030899869919435,10872,1,37.53754568099976,/thfs3/home/testpdl1/llama/llama.cpp.dsp/./build/bin/main -m /thfs3/home/testpdl1/llama/llama.cpp.dsp/models/7B/ggml-model-f16-transpose.gguf -p What is Love? Love can be: -n 16 -t 4 -e ,182.20963131276116,1,1.0,0.0,0.0,0.0,1.0,0.0,1242942.0,0.0,8.0,1048576.0,1242943.0,0.0,1242943.0,0.0,0.0,0.0,1.0,1242943.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3010299956639812,1.585884052531694,2.2629483007512547,0.3010299956639812,0.3010299956639812,0.0,0.0,0.0,0.3010299956639812,0.0,6.094451212830644,0.0,0.9542425094393249,6.020600327454919,6.094451562238708,0.0,6.094451562238708,0.0,0.0,0.0,0.3010299956639812,6.094451562238708,main
8,0.9542425094393249,10803,64,988.3907432556152,/thfs3/home/stu2/vasp-6.3.2-gcc9.3.0-mpi-x/vasp ,264.3030982634752,17,1688.0,0.0,0.0,1330.0,3686.0,5694.0,1016411478.0,1064677424.0,136.0,17825792.0,156750.0,646387.0,672031.0,658328.0,636387.0,634719.0,55697.0,2161558288.0,0.5074453162282709,0.49255468377172906,0.6470588235294118,0.35294117647058826,0.23529411764705882,0.11764705882352941,0.5294117647058824,0.39774135052157206,0.6022586494784279,3.5908576763559976e-05,0.3678654146542902,0.6020431980178466,0.3452250570048656,0.6019713808643194,0.9685979496202668,0.0,0.03565721672621506,0.0,0.33041276908989714,0.0,0.0316713647054599,0.0,0.0,0.0,0.0,0.0,7.181715352711995e-05,0.020252437294647825,0.5543925166526025,0.00010772573029067993,0.027434152647359822,0.0,0.0,0.0,0.0,0.0,0.7187819810761801,0.18119467834892364,0.007361258236529795,0.006912401026985295,1.8129133566428555,2.9953678427859822,2.4237423217911265,1.255272505103306,3.227629649571009,0.0,0.0,3.124178055474675,3.5666731376061165,3.7554937284151193,9.007069561177827,9.02721804555606,2.1367205671564067,7.251048859021162,5.19521032011262,5.8104932852941324,5.827389953251058,5.818442986586185,5.803721981812196,5.802582183130076,4.745839600836956,9.334766951296796,vasp
10,1.041392685158225,10803,32,7229.558386802673,/thfs3/home/stu2/vasp-6.3.2-gcc9.3.0-mpi-x/vasp ,229.09145152134352,18,1402.0,0.0,0.0,178.0,3434.0,5694.0,711235223.0,799858861.0,144.0,18874368.0,142877.0,112723.0,127878.0,162460.0,82459.0,17878.0,32411.0,1561592372.0,0.48777211624340594,0.5122278837565941,0.6111111111111112,0.3888888888888889,0.2777777777777778,0.05555555555555555,0.5555555555555556,0.41899355157199714,0.5810064484280029,3.085372250161982e-05,0.37950078676992377,0.5802351053654623,0.37675480546727963,0.5784764431828701,0.9596741846903829,0.0,0.08490944432445774,0.0,0.1638949739286045,3.085372250161982e-05,0.17015827959643332,0.0,0.0,0.0,0.0,0.0,0.0004936595600259172,0.001018172842553454,0.2970596402455956,0.28243497577982785,0.0,0.0,0.0,0.0,0.0,0.0,0.7138934312424794,0.2051464009132702,0.0023140291876214865,0.002036345685106908,1.5185139398778875,3.8591718373973127,2.3619004838312954,1.2787536009528289,3.1470576710283598,0.0,0.0,2.2528530309798933,3.5359267413955693,3.7554937284151193,8.852013256975116,8.90301336091423,2.161368002234975,7.275872441392679,5.154965362351841,5.052016391271504,5.106799231476879,5.210749122129553,4.916243330465339,4.252343224380086,4.510705830235076,9.193567679182694,vasp
11,1.0791812460476249,10872,1,20.062551975250244,/thfs3/home/testpdl1/llama/llama.cpp.dsp/./build/bin/main -m /thfs3/home/testpdl1/llama/ggml.gguf -p What is Love? Love can be: -n 16 -t 4 -e ,520.1339672477549,1,1.0,0.0,0.0,0.0,1.0,0.0,1230766.0,0.0,8.0,1048576.0,1230767.0,0.0,1230767.0,0.0,0.0,0.0,1.0,1230767.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3010299956639812,1.3235109899085427,2.7169493811834524,0.3010299956639812,0.3010299956639812,0.0,0.0,0.0,0.3010299956639812,0.0,6.090175843189626,0.0,0.9542425094393249,6.020600327454919,6.090176196054389,0.0,6.090176196054389,0.0,0.0,0.0,0.3010299956639812,6.090176196054389,main
12,1.1139433523068367,10872,1,23.32680559158325,/thfs3/home/testpdl1/llama/llama.cpp.dsp/./build/bin/main -m /thfs3/home/testpdl1/llama/ggml.gguf -p What is Love? -n 16 -t 4 -e ,223.54211506152657,1,1.0,0.0,0.0,0.0,1.0,0.0,1230766.0,0.0,8.0,1048576.0,1230767.0,0.0,1230767.0,0.0,0.0,0.0,1.0,1230767.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3010299956639812,1.3860850844741792,2.351297809140915,0.3010299956639812,0.3010299956639812,0.0,0.0,0.0,0.3010299956639812,0.0,6.090175843189626,0.0,0.9542425094393249,6.020600327454919,6.090176196054389,0.0,6.090176196054389,0.0,0.0,0.0,0.3010299956639812,6.090176196054389,main
