,uid,nprocs,run_time,exe,STDIO_agg_perf_by_slowest,STDIO_TOTAL_FILES,STDIO_READ_ONLY_FILES,STDIO_WRITE_ONLY_FILES,STDIO_READ_WRITE_FILES,STDIO_UNIQUE_FILES,STDIO_SHARE_FILES,STDIO_OPENS,STDIO_FDOPENS,STDIO_READS,STDIO_WRITES,STDIO_SEEKS,STDIO_FLUSHES,STDIO_BYTES_WRITTEN,STDIO_BYTES_READ,STDIO_MAX_BYTE_READ,STDIO_MAX_BYTE_WRITTEN,STDIO_FASTEST_RANK,STDIO_FASTEST_RANK_BYTES,STDIO_SLOWEST_RANK,STDIO_SLOWEST_RANK_BYTES
0,410575,16,498.0,./mosst_dynamo.x ,0.0,1,0,0,0,1,0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,410575,16,788.0,./mosst_dynamo.x ,0.0,1,0,0,0,1,0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,410575,16,415.0,./mosst_dynamo.x ,0.0,1,0,0,0,1,0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,410575,16,796.0,./mosst_dynamo.x ,0.0,1,0,0,0,1,0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49294,256,1755.0,/scratch/system/bwjenkins/tests/milc-nsf/v1/cle5.2_gnu4.9.3/bin/su3_rmd,1.246863808451857,1,0,1,0,0,1,256.0,-1.0,0.0,554.0,0.0,2600.0,30464.0,0.0,0.0,30463.0,234.0,0.0,0.0,30464.0
5,410575,16,589.0,./mosst_dynamo.x ,0.0,1,0,0,0,1,0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,410575,16,468.0,./mosst_dynamo.x ,0.0,1,0,0,0,1,0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,410575,16,387.0,./mosst_dynamo.x ,0.0,1,0,0,0,1,0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,410575,16,790.0,./mosst_dynamo.x ,0.0,1,0,0,0,1,0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,410575,16,1180.0,./mosst_dynamo.x ,0.0,1,0,0,0,1,0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,410575,16,790.0,./mosst_dynamo.x ,0.0,1,0,0,0,1,0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,410575,16,469.0,./mosst_dynamo.x ,0.0,1,0,0,0,1,0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,410575,16,286.0,./mosst_dynamo.x ,0.0,1,0,0,0,1,0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,410575,16,334.0,./mosst_dynamo.x ,0.0,1,0,0,0,1,0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,393082,8192,169374.0,exec parfile.par,0.31786573274614294,46,2,44,0,44,2,16494.0,-46.0,91655.0,138964.0,0.0,6007.0,4263639.0,651469.0,651467.0,2892078.0,64.0,0.0,0.0,58524.0
15,410575,16,788.0,./mosst_dynamo.x ,0.0,1,0,0,0,1,0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,410575,16,791.0,./mosst_dynamo.x ,0.0,1,0,0,0,1,0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
