,uid,nprocs,run_time,exe,STDIO_agg_perf_by_slowest,STDIO_TOTAL_FILES,STDIO_READ_ONLY_FILES,STDIO_WRITE_ONLY_FILES,STDIO_READ_WRITE_FILES,STDIO_UNIQUE_FILES,STDIO_SHARE_FILES,STDIO_OPENS,STDIO_FDOPENS,STDIO_READS,STDIO_WRITES,STDIO_SEEKS,STDIO_FLUSHES,STDIO_BYTES_WRITTEN,STDIO_BYTES_READ,STDIO_MAX_BYTE_READ,STDIO_MAX_BYTE_WRITTEN,STDIO_FASTEST_RANK,STDIO_FASTEST_RANK_BYTES,STDIO_SLOWEST_RANK,STDIO_SLOWEST_RANK_BYTES
0,10872,1,18.737453937530518,/thfs3/home/testpdl1/llama/llama.cpp.dsp/./build/bin/main -m /thfs3/home/testpdl1/llama/ggml.gguf -p What is Love? Love can be: -n 16 -t 4 -e ,1312.9301518800771,5,2,3,0,5,0,6.0,0.0,66046.0,1053.0,3.0,1050.0,90781.0,13478312957.0,13478312959.0,90778.0,0.0,0.0,0.0,0.0
1,10494,1,0.017155885696411133,/usr/bin/hostname ,0.0007835455435847208,1,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10872,1,0.009583234786987305,/thfs3/home/testpdl1/miniforge3/envs/torch2/bin/python -u bert_train.py ,0.0013726835964310226,1,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,10872,1,0.02298259735107422,/thfs3/home/testpdl1/llama/llama.cpp.dsp/./build/bin/main -m /thfs3/home/testpdl1/llama/ggml-model-all-tensors-f16-v2 -.gguf -p What is Love? Love can be: -n 16 -t 4 -e ,1.5308167467398766,3,1,2,0,3,0,3.0,0.0,1.0,35.0,0.0,6.0,2787.0,1.0,0.0,2785.0,0.0,0.0,0.0,0.0
4,10872,1,25.381682872772217,/thfs3/home/testpdl1/llama/llama.cpp.dsp/./build/bin/main -m /thfs3/home/testpdl1/llama/ggml.gguf -p What is Love? Love can be: -n 16 -t 4 -e ,827.0877507036563,5,2,3,0,5,0,6.0,0.0,66046.0,1053.0,3.0,1050.0,90781.0,13478312957.0,13478312959.0,90778.0,0.0,0.0,0.0,0.0
5,10872,1,18.42111611366272,/thfs3/home/testpdl1/llama/llama.cpp.dsp.tj/./build/bin/main -m /thfs3/home/testpdl1/llama/ggml.gguf -p What is Love? Love can be: -n 16 -t 4 -e ,1338.9928117224424,5,2,3,0,5,0,6.0,0.0,66046.0,1053.0,3.0,1050.0,90784.0,13478312957.0,13478312959.0,90781.0,0.0,0.0,0.0,0.0
6,10872,1,0.020290851593017578,/thfs3/home/testpdl1/miniforge3/envs/torch2/bin/python -c import sys;print(sys.path) ,0.0011723329425556857,1,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,10872,1,44.82237267494202,/thfs3/home/testpdl1/llama/llama.cpp.dsp/./build/bin/main -m /thfs3/home/testpdl1/llama/ggml.gguf -p What is Love? Love can be: -n 32 -t 4 -e ,469.0644223169026,5,2,3,0,5,0,6.0,0.0,66046.0,1149.0,3.0,1146.0,101945.0,13478312957.0,13478312959.0,101942.0,0.0,0.0,0.0,0.0
8,10872,1,37.537545680999756,/thfs3/home/testpdl1/llama/llama.cpp.dsp/./build/bin/main -m /thfs3/home/testpdl1/llama/llama.cpp.dsp/models/7B/ggml-model-f16-transpose.gguf -p What is Love? Love can be: -n 16 -t 4 -e ,455.42423563952855,5,2,3,0,5,0,6.0,0.0,66046.0,1053.0,3.0,1050.0,91286.0,13478312957.0,13478312959.0,91283.0,0.0,0.0,0.0,0.0
9,10872,1,0.010809183120727539,/thfs3/home/testpdl1/miniforge3/envs/torch2/bin/python -c import sys;print(sys.path) ,0.0011188811188811189,1,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
